Teorema,Prova
Ax (P(x)|P(x)) |- Ax P(x),"
Prova:""""

1. Ax(P(x) | P(x))        pre
2. { a
3.   P(a) | P(a)        Ae 1
4. { P(a)                hip
5.   P(a)                copie 4
}
6. { P(a)                hip
7.   P(a)                copie 6
}
8.   P(a)                |e 3,4-5,6-7
}
9.   Ax P(x)                Ai 2-8

""""
"
"P(a), Q(a) |- Ex (P(x)&Q(x))","
Prova:""""

1. P(a)                        pre
2. Q(a)                        pre
3. P(a) & Q(a)                &i 1,2
4. Ex(P(x)&Q(x))        Ei 3

""""
"
"Ax (P(x)->Q(x)), P(a) |- Q(a)","
Prova:""""

1. Ax(P(x) -> Q(x))		pre
2. P(a)				pre
3. P(a) -> Q(a)			Ae 1
4. Q(a)				->e 3,2

""""
"
|- Ex (T(x)&K(x))->(Ex T(x)|Ex K(x)),"
Prova:""""

1.  { Ex(T(x) & K(x))                                 hip
2.         { a         T(a) & K(a)                                                hip
3.                 T(a)                                                                        &e 2
4.                 Ex T(x)                                                          Ei 3
5.       Ex T(x) | Ex K(x)                            |i 4
                }
6.         Ex T(x) | Ex K(x)                                        Ee 1, 2-5
        }
7.  Ex (T(x) & K(x)) -> (Ex T(x) | Ex K(x))          ->i 1-6

""""
"
|- Ax P(x)->(Ax ~Q(x)->Ax (P(x)&~Q(x))),"
Prova:""""

1. {	Ax P(x)							  hip
2.	{	Ax ~Q(x)						  hip
3.		{	a
4.			P(a) 					 	  Ae 1   
5.			~Q(a)							  Ae 2 
6.			P(a) & ~Q(a)				          &i 4,5
	}						  
7.		Ax (P(x) & ~Q(x))				          Ai 3-6
	}
8.	Ax ~Q(x) -> Ax (P(x) & ~Q(x))            ->i 2-7
	}
9. Ax P(x) -> (Ax ~Q(x) -> Ax (P(x) & ~Q(x)))  ->i 1-8

""""
"
"Ex P(x), Ax (P(x)->Q(x)) |- Ex Q(x)","
Prova:""""

1. ExP(x)                       pre
2. Ax(P(x) -> Q(x))             pre
3. { a P(a)                     hip
4.      P(a) -> Q(a)            Ae 2
5.      Q(a)                    ->e 3,4
6.      Ex Q(x)                 Ei 5
	}
7. Ex Q(x)                      Ee 1,3-6

""""
"
|- Ax (P(x)->Q(x))->(Ax P(x)->Ax Q(x)),"
Prova:""""

1. {  Ax (P(x) -> Q(x)) 						hip
2. {  Ax P(x) 								hip
3.   {  a
4.      P(a)									Ae 2
5.      P(a) -> Q(a) 						Ae 1
6.      Q(a)									->e 4,5
	}
7.   Ax Q(x)								Ai 3-6
	}
8.  Ax P(x) -> Ax Q(x) 					->i 2-7
	}
9.  Ax (P(x) -> Q(x)) -> (Ax P(x) -> Ax Q(x)) ->i 1-8 

""""
"
|- ~Ax ~P(x)->Ex P(x),"
Prova:""""

1. { 	~Ax ~P(x)			  hip
2.	{	~Ex P(x)		    hip
3.		{	a
4.			{	P(a)	      hip
5.				Ex P(x)	    Ei 4
6.				@	                ~e 2,5
			}
7.			~P(a)		            ~i 4-6
		}
8.		Ax ~P(x)		          Ai 3-7
9.		@			                ~e 1,8
	}
10.	Ex P(x)				          raa 2-9
	}
11.~Ax ~P(x) -> Ex P(x)  		->i 1-10

""""
"
|- Ex (P(x)->Q)->(Ax P(x)->Q),"
Prova:""""

1.  {	Ex(P(x)->Q)	                    hip
2.	{	Ax P(x)							hip
3.		{	a	P(a) -> Q					hip
4.			P(a)						     Ae 2
5.			Q							     ->e 3,4
		}
6.		Q								    Ee 1,3-5
	}
7.	Ax P(x) -> Q					     ->i 2-6
	}
8. Ex(P(x)->Q) -> (Ax P(x) -> Q)	     ->i 1-7

""""
"
"Ax ~(P(x)&~Q(x)), Ax ~Q(x) |- Ax ~P(x)","
Prova:""""

1. Ax ~(P(x) & ~Q(x))              pre
2. Ax ~Q(x)                         pre
3. { a
4.       ~(P(a) & ~Q(a))            Ae 1
5.       {  P(a)                     hip
6.           ~Q(a)                   Ae 2
7.           P(a) & ~Q(a)           &i 5,6
8.           @                       ~e 7,4
			}
9.      ~P(a)                        ~i 5-8
	}
10.Ax ~P(x)                          Ai 3-9

""""
"
"Ax (P(x)->R(x)), Ax ~R(x) |- Ax ~P(x)","
Prova:""""

1. Ax(P(x) -> R(x))                pre
2. Ax ~R(x)                        pre
3. { a
4.       P(a) -> R(a)              Ae 1
5.       ~R(a)                     Ae 2
6.       {  P(a)                   hip
7.          R(a)                   ->e 6,4
8.          @                      ~e 7,5
       }   
9.      ~P(a)                     ~i 6-8
	}
10.Ax ~P(x)                        Ai 3-9

""""
"
|- Ax P(x)->~Ex ~P(x),"
Prova:""""

	1. { 	Ax  P(x) 					hip
	2.		{ 	Ex ~P(x)			hip
	3.	  	 	{ a		~P(a)		hip
	4.					P(a)		    Ae 1
	5.					@		        ~e 3,4
					}
	6.	 	 @	        			Ee 2, 3-5	
			  }
	7.   	~ Ex ~P(x)				~i 2-6
		}
	8. Ax P(x) -> ~Ex ~P(x) ->i 1-7

""""
"
|- ~Ex ~P(x)->Ax P(x),"
Prova:""""

	1. 	{ 	~Ex ~P(x)					hip
	2. 		{ 	a
	3.			{ 	~ P(a)				hip
	4.		  		Ex ~P(x)			Ei 3
	5.		  		@					    ~e 1,4
				  }
	6.	  		P(a)					  raa 3-5
			  }
	7.		Ax P(x)					    Ai 2-6
		}
	8. 	~Ex ~P(x) -> Ax P(x)	->i 1-7

""""
"
|- Ex P(x)->~Ax ~P(x),"
Prova:""""

        1.         {        Ex P(x)                                        hip
        2.                 {         Ax ~P(x)                        hip
        3.                        {         a         P(a)                        hip
        4.                                  ~P(a)                                Ae 2
        5.                                  @                                        ~e 3,4
                                }
        6.                     @                                                Ee 1, 3-5
                        }
        7.                ~ Ax ~P(x)                                ~i 2-6
                 }
        8.         Ex P(x) -> ~ Ax ~P(x)                ->i 1-7

""""
"
Ex (P(x)&~Q(x)) |- ~Ax (P(x)->Q(x)),"
Prova:""""

1. Ex(P(x) & ~Q(x)) pre
2. { Ax(P(x) -> Q(x)) hip
3.   { a P(a) & ~Q(a) hip
4.     P(a) &e 3
5.     ~Q(a) &e 3
6.     P(a) -> Q(a) Ae 2
7.     Q(a) ->e 6,4
8.     @ ~e 7,5
}
9.   @ Ee 1, 3-8
}
10. ~Ax(P(x) -> Q(x)) ~i 2-9

""""
"
"|- Ax Ay P(x,y)->Ay Ax P(x,y)","
Prova:""""

        1. {        Ax Ay P(x,y)                                        hip
        2.                {        b 
        3.                        {        a 
        4.                                Ay P(a,y)                                        Ae 1
        5.                                P(a,b)                                                Ae 4
                                }
        6.                        Ax P(x,b)                                                Ai 3-5
                        }
        7.                Ay Ax P(x,y)                                        Ai 2-6
           }
        8. Ax Ay P(x,y) -> Ay Ax P(x,y)         ->i 1-7

""""
"
|- Ax (P->Q(x))->(P->Ax Q(x)),"
Prova:""""

        1. {        Ax (P -> Q(x))                                        hip
        2.        {        P                                                                         hip
        3.                {         a 
        4.                        P-> Q(a)                                                Ae 1
        5.                        Q(a)                                                        ->e 2,4
                        }
        6.                Ax Q(x)                                                        Ai 3-5
                }
        7.        P -> Ax Q(x)                                                        ->i 2-6
           }
        8. (Ax (P -> Q(x))) -> (P -> Ax Q(x))         ->i 1-7

""""
"
"Ax ~(H(x)&~M(x)), Ax H(x) |- Ax M(x)","
Prova:""""

1. Ax ~(H(x) & ~M(x)) pre
2. Ax H(x) pre
3. { a
4.   ~(H(a) & ~M(a)) Ae 1
5.   { ~M(a) hip
6.     H(a) Ae 2
7.     H(a) & ~M(a) &i 6,5
8.     @ ~e 7,4
}
9.   M(a) raa 5-8
}
10. Ax M(x) Ai 3-9

""""
"
|- ~Ax P(x)->Ex ~P(x),"
Prova:""""

	1. {	~ Ax P(x)				hip
	2.	{ 	~ Ex ~ P(x)			hip 
	3.		{ 	a 	 			
	4.			{	~P(a)			hip
	5.				Ex ~P(x)		Ei 4
	6.				@				~e 5,2
				}
	7.			P(a)				raa 4-6
			}
	8.		Ax P (x)				Ai 3-7
	9.		@						~e 1,8
		}
	10.	Ex ~ P(x)					raa 2-9
		}
	11. ~ Ax P(x) -> Ex ~ P(x) 	->i 1-10

""""
"
|- Ex ~P(x)->~Ax P(x),"
Prova:""""

	1. {	Ex ~ P(x)				hip
	2.	{ 	Ax P(x)				hip 
	3.		{ a		~P(a)			hip 	 			
	4.			P(a)				Ae 2
	5.			@					~e 3,4
			}
	6.		@						Ee 1, 3-5
		}
	7.	~ Ax P(x)					~i 2-6
	   }
	8. Ex ~ P(x) -> ~ Ax P(x)  	->i 1-7

""""
"
|- ~Ex P(x)->Ax ~P(x),"
Prova:""""

	1. {	~ Ex P(x)				hip
	2.	{ 	a
	3.		{ 	P(a)				hip 	 			
	4.			Ex P(x)			Ei 3
	5.			@					~e 4,1
			}
	6.		~P(a)					~i 3-5
		}
	7.	Ax ~P(x)					Ai 2-6
	   }
	8. ~ Ex P(x) -> Ax ~ P(x)  	->i 1-7

""""
"
|- Ax ~P(x)->~Ex P(x),"
Prova:""""

	1. {	Ax ~ P(x)					hip
	2.	{ 	Ex P(x)					hip
	3.		{ a		P(a)				hip 	 			
	4.			~ P(a)					Ae 1
	5.			@						~e 3,4
			}
	6.		@							Ee 2, 3-5
		}
	7.	~ Ex P(x)						~i 2-6
	   }
	8. Ax ~ P(x) ->  ~ Ex P(x) 		->i 1-7

""""
"
