Teorema,Prova
Ax P(x) |- ~Ex ~P(x),"
Prova:""""

1.  Ax  P(x)                                         pre
2.        {         Ex ~P(x)                        hip
3.                   { a                ~P(a)                hip
4.                                P(a)                Ae 1
5.                                @                ~e 3,4
                 }
6.                  @                                        Ee 2, 3-5        
                  }
7.           ~ Ex ~P(x)                                ~i 2-6

""""
"
~Ex ~P(x) |- Ax P(x),"
Prova:""""
1. 	~Ex ~P(x)					pre
2. 		{ 	a
3.			{ 	~ P(a)				hip
4.		  		Ex ~P(x)			Ei 3
5.		  		@					    ~e 1,4
			  }
6.	  		P(a)					  raa 3-5
		  }
7.		Ax P(x)					    Ai 2-6
""""
"
Ex P(x) |- ~Ax ~P(x),"
Prova:""""
1.         Ex P(x)                                        pre
        2.                 {         Ax ~P(x)                        hip
        3.                        {         a         P(a)                        hip
        4.                                  ~P(a)                                Ae 2
        5.                                  @                                        ~e 3,4
                                }
        6.                     @                                                Ee 1, 3-5
                        }
        7.                ~ Ax ~P(x)                                ~i 2-6
""""
"
~Ax ~P(x) |- Ex P(x),"
Prova:""""
        1.          ~Ax ~P(x)                          pre
        2.        {        ~Ex P(x)                    hip
        3.                {        a
        4.                        {        P(a)              hip
        5.                                Ex P(x)            Ei 4
        6.                                @                        ~e 2,5
                                }                                
        7.                        ~P(a)                            ~i 4-6
                        }
        8.                Ax ~P(x)                          Ai 3-7
        9.                @                                        ~e 1,8
                }        
        10.        Ex P(x)                                          raa 2-9
""""
"
Ax (P(x)&Q(x)) |- Ax P(x)&Ax Q(x),"
Prova:""""
	1.  	Ax (P(x)&Q(x))							pre
	2.		{	a 
	3.			P(a)&Q(a)								Ae 1
	4.			P(a)									&e 3
			}
	5.		Ax P(x)									Ai 2-4
	6.		{	a	
	7.			P(a)&Q(a)								Ae 1
	8.			Q(a)									&e 7
			}
	9.		Ax Q(x)									Ai 6-8
	10.		Ax P(x) & Ax Q(x)						&i 5,9
""""
"
"Ax Ay P(x,y) |- Ay Ax P(x,y)","
Prova:""""
        1.         Ax Ay P(x,y)                                        pre
        2.                {        b 
        3.                        {        a 
        4.                                Ay P(a,y)                                        Ae 1
        5.                                P(a,b)                                                Ae 4
                                }
        6.                        Ax P(x,b)                                                Ai 3-5
                        }
        7.                Ay Ax P(x,y)                                        Ai 2-6
        
""""
"
Ax (P->Q(x)) |- P->Ax Q(x),"
Prova:""""
        1.         Ax (P -> Q(x))                                        pre
        2.        {        P                                                                         hip
        3.                {         a 
        4.                        P-> Q(a)                                                Ae 1
        5.                        Q(a)                                                        ->e 2,4
                        }
        6.                Ax Q(x)                                                        Ai 3-5
                }
        7.        P -> Ax Q(x)                                                        ->i 2-6
""""
"
Ex (P(x)|Q(x)) |- Ex P(x)|Ex Q(x),"
Prova:""""
	1. 	Ex (P(x) | Q(x))							pre
	2.	{ a		P(a) | Q(a)								hip 
	3.		{ 	P(a) 									hip
	4.			Ex P(x)								Ei 3
	5.			Ex P(x) | Ex Q(x)					|i 4
			}
	6.		{ 	Q(a) 									hip
	7.			Ex Q(x)								Ei 6
	8.			Ex P(x) | Ex Q(x)					|i 7
			}
	9.		Ex P(x) | Ex Q(x)						|e 2, 3-5, 6-8
		}
	10.	Ex P(x) | Ex Q(x)							Ee 1, 2-9
""""
"
~Ax P(x) |- Ex ~P(x),"
Prova:""""
	1. 	~ Ax P(x)				pre
	2.	{ 	~ Ex ~ P(x)			hip 
	3.		{ 	a 	 			
	4.			{	~P(a)			hip
	5.				Ex ~P(x)		Ei 4
	6.				@				~e 5,2
				}
	7.			P(a)				raa 4-6
			}
	8.		Ax P (x)				Ai 3-7
	9.		@						~e 1,8
		}
	10.	Ex ~ P(x)					raa 2-9
""""
"
Ex ~P(x) |- ~Ax P(x),"
Prova:""""
	1. 	Ex ~ P(x)				pre
	2.	{ 	Ax P(x)				hip 
	3.		{ a		~P(a)			hip 	 			
	4.			P(a)				Ae 2
	5.			@					~e 3,4
			}
	6.		@						Ee 1, 3-5
		}
	7.	~ Ax P(x)					~i 2-6
	
""""
"
~Ex P(x) |- Ax ~P(x),"
Prova:""""
	1. 	~ Ex P(x)				pre
	2.	{ 	a
	3.		{ 	P(a)				hip 	 			
	4.			Ex P(x)			Ei 3
	5.			@					~e 4,1
			}
	6.		~P(a)					~i 3-5
		}
	7.	Ax ~P(x)					Ai 2-6
""""
"
Ax ~P(x) |- ~Ex P(x),"
Prova:""""
	1. 	Ax ~ P(x)					pre
	2.	{ 	Ex P(x)					hip
	3.		{ a		P(a)				hip 	 			
	4.			~ P(a)					Ae 1
	5.			@						~e 3,4
			}
	6.		@							Ee 2, 3-5
		}
	7.	~ Ex P(x)						~i 2-6
	 
""""
"
